style,name,alpha_acid,substitutions,description
Porter,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Porter,Tomahawk®,15-17%,Columbus,Primarily a bittering hop.
Porter,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
Porter,Warrior®,15-17%,Nugget,A bittering and aromatic hop.
Porter,WGV (Whitbread Golding Variety) (U.K.),5-7%,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy."
Porter,Willamette,3.5-6%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
Porter,Yakima Cluster,6-8.5%,,Used as a kettle hop for bittering.
Porter,Zeus,13-17%,Columbus,Aromatic and pleasant.
Scottish Ale,Admiral (U.K.),13.5-16%,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.
Scottish Ale,Boadicea (U.K.),8-9%,,spicy
Scottish Ale,Bobeck (Slovenia),3.5-7%,U.K. Fuggle,
Scottish Ale,Bramling Cross (U.K.),5-7%,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma."
Scottish Ale,Brewer's Gold (U.S.),7-10%,Bullion,Bittering hop with neutral aroma character.
Scottish Ale,Celeia (Slovenia),3-6%,Styrian Golding,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
Scottish Ale,Challenger (U.K.),6.5-8.5%,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy."
Scottish Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Scottish Ale,First Gold (U.K.),6.5-8.5%,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.
Scottish Ale,Fuggle (U.K.),4-5.5%,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust."
Scottish Ale,Fuggle (U.S.),4-5.5%,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity."
Scottish Ale,Golding (U.S.),4-6%,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy."
Scottish Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Scottish Ale,Kent Golding (U.K.),4-5.5%,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant."
Scottish Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Scottish Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Scottish Ale,Mt. Rainier (U.S.),5-8.1%,Hallertauer,only available in 2012
Scottish Ale,Northdown (U.K.),7.5-9.5%,,Fruity with some spiciness.
Scottish Ale,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
Scottish Ale,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
Scottish Ale,Northwest Golding,4-5%,,Known for aromatic properties.
Scottish Ale,Opal (German),5-8%,Styrian Golding,German dual-purpose hop
Scottish Ale,Phoenix (U.K.),9-13%,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral."
Scottish Ale,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
Scottish Ale,Pioneer (U.K.),8-10%,U.K. Kent Golding,"A mild, typical English aroma."
Scottish Ale,Progress (U.K.),5-7.5%,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma."
Scottish Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Scottish Ale,Styrian Golding (Slovenia),4.5-6%,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy."
Scottish Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Scottish Ale,WGV (Whitbread Golding Variety) (U.K.),5-7%,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy."
Smoked Ale,Boadicea (U.K.),8-9%,,spicy
Smoked Ale,Cascade (U.S.),4.5-7%,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor."
Smoked Ale,Centennial,8-11.5%,"Cascade, possibly Columbus",Medium with floral and citrus tones.
Smoked Ale,Chinook,10-14%,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity."
Smoked Ale,Cluster,5.5-8.5%,Galena,Medium and quite spicy.
Smoked Ale,Columbus,11-16%,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma."
Smoked Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Smoked Ale,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
Smoked Ale,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
Smoked Ale,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
Smoked Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Smoked Ale,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
Smoked Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Smoked Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Smoked Ale,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
Smoked Ale,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
Smoked Ale,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
Smoked Ale,Northwest Golding,4-5%,,Known for aromatic properties.
Smoked Ale,Nugget,11-14.5%,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.
Smoked Ale,Olympic,11-13%,Chinook,"Mild to medium, citrusy aroma, spicy."
Smoked Ale,Palisade®,5.5-9.5%,Perhaps Cascade,"Some ""American"" characteristics."
Smoked Ale,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Smoked Ale,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Smoked Ale,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
Smoked Ale,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
Smoked Ale,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Smoked Ale,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
Smoked Ale,Simcoe®,12-14%,,A bittering and aromatic hop.
Smoked Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Smoked Ale,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
Smoked Ale,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
Smoked Ale,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
Smoked Ale,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
Smoked Ale,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
Smoked Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Smoked Ale,Taurus (German),12-17%,Magnum,high-alpha hop
Smoked Ale,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
Smoked Ale,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
Smoked Ale,Tomahawk®,15-17%,Columbus,Primarily a bittering hop.
Smoked Ale,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
Smoked Ale,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
Smoked Ale,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
Smoked Ale,Warrior®,15-17%,Nugget,A bittering and aromatic hop.
Smoked Ale,Willamette,3.5-6%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
Smoked Ale,Yakima Cluster,6-8.5%,,Used as a kettle hop for bittering.
Smoked Ale,Zeus,13-17%,Columbus,Aromatic and pleasant.
Stout,Admiral (U.K.),13.5-16%,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.
Stout,Ahtanum™,4-6.3%,"Amarillo, Cascade","Floral, citrus, sharp, and piney."
Stout,Amarillo®,8-9%,"Cascade, Centennial","Citrusy, flowery."
Stout,Boadicea (U.K.),8-9%,,spicy
Stout,Bobeck (Slovenia),3.5-7%,U.K. Fuggle,
Stout,Bramling Cross (U.K.),5-7%,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma."
Stout,Brewer's Gold (U.S.),7-10%,Bullion,Bittering hop with neutral aroma character.
Stout,Bullion (U.K.),6.5-9%,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.
Stout,Cascade (U.S.),4.5-7%,"Amarillo, Centennial, possibly Columbus","Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor."
Stout,Cascade (New Zealand),6-8%,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character."
Stout,Centennial,8-11.5%,"Cascade, possibly Columbus",Medium with floral and citrus tones.
Stout,Challenger (U.K.),6.5-8.5%,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy."
Stout,Chinook,10-14%,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity."
Stout,Citra® (U.S.),11-13%,,Intense citrusy flavor.
Stout,Cluster,5.5-8.5%,Galena,Medium and quite spicy.
Stout,Columbus,11-16%,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma."
Stout,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Stout,First Gold (U.K.),6.5-8.5%,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.
Stout,Fuggle (U.K.),4-5.5%,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust."
Stout,Fuggle (U.S.),4-5.5%,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity."
Stout,Galena,10-14%,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy."
Stout,Glacier (U.S.),5-9%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger, Willamette",Dual purpose hop with a citrus earthy aroma.
Stout,Golding (U.S.),4-6%,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy."
Stout,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Stout,Kent Golding (U.K.),4-5.5%,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant."
Stout,Legacy (U.S.),NA,,"Clean grapefruit, floral, black currant notes and a spicy aroma."
Stout,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Stout,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Stout,Nelson Sauvin (New Zealand),12-14%,,"Distinctive white wine ""fruitiness,"" gooseberry. Considered by some as ""extreme,"" this hop is often used in specialty craft and seasonal beers."
Stout,Newport,13-17%,"Galena, Nugget",Fairly pungent.
Stout,Northdown (U.K.),7.5-9.5%,,Fruity with some spiciness.
Stout,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
Stout,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
Stout,Northwest Golding,4-5%,,Known for aromatic properties.
Stout,Nugget,11-14.5%,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.
Stout,Olympic,11-13%,Chinook,"Mild to medium, citrusy aroma, spicy."
Stout,Pacific Gem (New Zealand),13-15%,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.
Stout,Pacific Jade (New Zealand),12-14%,,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
Stout,Palisade®,5.5-9.5%,Perhaps Cascade,"Some ""American"" characteristics."
Stout,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
Stout,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Stout,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Stout,Phoenix (U.K.),9-13%,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral."
Stout,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
Stout,Pioneer (U.K.),8-10%,U.K. Kent Golding,"A mild, typical English aroma."
Stout,Pride of Ringwood (Australia),7-10%,"Cluster, Galena","Quite pronounced, woody, earthy, herbal."
Stout,Progress (U.K.),5-7.5%,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma."
Stout,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Stout,Satus,12.5-14%,Galena,Known for its bittering and aromatic properties.
Stout,Simcoe®,12-14%,,A bittering and aromatic hop.
Stout,Southern Cross (New Zealand),11-14%,,"Piney, resinous bittering hop"
Stout,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Stout,Styrian Golding (Slovenia),4.5-6%,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy."
Stout,Summit™,16-18%,Simcoe,Ultra high-alpha bittering hop
Stout,Sun,12-16%,Magnum,High-alpha hop with intense character
Stout,Super Alpha (New Zealand),10-12%,,"Earthy, piney bittering hop."
Stout,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Stout,Tomahawk®,15-17%,Columbus,Primarily a bittering hop.
Stout,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
Stout,Warrior®,15-17%,Nugget,A bittering and aromatic hop.
Stout,WGV (Whitbread Golding Variety) (U.K.),5-7%,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy."
Stout,Willamette,3.5-6%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
Stout,Yakima Cluster,6-8.5%,,Used as a kettle hop for bittering.
Stout,Zeus,13-17%,Columbus,Aromatic and pleasant.
Wheat Ale,Azacca® (U.S.),14-16%,,"A dual-use, high-alpha hop. Aroma and flavor characteristics of apricot, ripe mango, orchard fruit, orange, grapefruit, pine, and pineapple."
Wheat Ale,Belma (U.S.),12.10%,,"Clean bitterness, citrus, tropical fruit flavors."
Wheat Ale,Boadicea (U.K.),8-9%,,spicy
Wheat Ale,Cascade (New Zealand),6-8%,"Ahtanum, Cascade, Centennial","Similar to US Cascade, has floral, citrus grapefruit character."
Wheat Ale,Cashmere (U.S.),7.7-9.1%,,"This dual purpose variety is an offspring of Cascade and Northern Brewer. Cashmere has aroma and flavor characteristics of melon, lemon, lime, herbs, and citrus fruits."
Wheat Ale,Centennial,8-11.5%,"Cascade, possibly Columbus",Medium with floral and citrus tones.
Wheat Ale,Chinook,10-14%,"Columbus, Northern Brewer, Nugget, U.K. Target","Mild to medium-heavy, spicy, piney, and grapefruity."
Wheat Ale,Cluster,5.5-8.5%,Galena,Medium and quite spicy.
Wheat Ale,Columbus,11-16%,"Chinook, Northern Brewer, Nugget, U.K. Target","Pleasant, with pungent aroma."
Wheat Ale,Comet (U.S.),9-11%,,"Grapefruit, lemon, orange, and grassy notes."
Wheat Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Wheat Ale,Eroica (German),9-12%,"Chinook, Galena, Nugget",Strong but pleasant aroma.
Wheat Ale,Green Bullet (New Zealand),11-14%,"Crystal, Hallertauer Tradition, Liberty, Mt. Hood, Ultra",Dual purpose hop.
Wheat Ale,Hallertau Aroma (New Zealand),6.5-8.5%,Perle,A dual purpose hop which has been used to replace Perle
Wheat Ale,Hallertauer (U.S.),3.5-5.5%,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy."
Wheat Ale,Hallertauer Gold (German),6-6.5%,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.
Wheat Ale,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
Wheat Ale,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
Wheat Ale,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
Wheat Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Wheat Ale,Lemondrop (U.S.),5-7%,Amarillo,"This aroma hop originated from a cross between Cascade and USDA 19058 male. It features (of course) lemony, floral, earthy, herbal, grassy, citrus, pepper, and pine notes."
Wheat Ale,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
Wheat Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Wheat Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Wheat Ale,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
Wheat Ale,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
Wheat Ale,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
Wheat Ale,Northwest Golding,4-5%,,Known for aromatic properties.
Wheat Ale,Nugget,11-14.5%,"Chinook, Columbus, Galena, U.K. Target",Quite heavy and herbal.
Wheat Ale,Olympic,11-13%,Chinook,"Mild to medium, citrusy aroma, spicy."
Wheat Ale,Opal (German),5-8%,Styrian Golding,German dual-purpose hop
Wheat Ale,Pacific Jade (New Zealand),12-14%,,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
Wheat Ale,Pacifica (New Zealand),5-6%,Hallertau family,An aroma hop with some citrus and floral character
Wheat Ale,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
Wheat Ale,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Wheat Ale,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Wheat Ale,Polaris (German),18-24%,,"Minty, icy quality."
Wheat Ale,Rakau (New Zealand),9-11%,,"High alpha acids and oil content (particularly myrcene) with low cohumulone, making it ideal for the “hoppy not bitter” school of new world IPAs. Aromas and flavors of ripe fruit, grassiness, lemon, grapefruit juice, and hints of tropical flowers."
Wheat Ale,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
Wheat Ale,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
Wheat Ale,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Wheat Ale,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
Wheat Ale,Simcoe®,12-14%,,A bittering and aromatic hop.
Wheat Ale,Sladek (Czech),5-6%,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.
Wheat Ale,Sorachi Ace (Japan),13-16%,,Bittering hop with lemony aroma
Wheat Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Wheat Ale,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
Wheat Ale,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
Wheat Ale,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
Wheat Ale,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
Wheat Ale,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
Wheat Ale,Styrian Aurora,7-9.5%,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process."
Wheat Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Wheat Ale,Taurus (German),12-17%,Magnum,high-alpha hop
Wheat Ale,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
Wheat Ale,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
Wheat Ale,Tomahawk®,15-17%,Columbus,Primarily a bittering hop.
Wheat Ale,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
Wheat Ale,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
Wheat Ale,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
Wheat Ale,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
Wheat Ale,Warrior®,15-17%,Nugget,A bittering and aromatic hop.
Wheat Ale,Willamette,3.5-6%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
Wheat Ale,Yakima Cluster,6-8.5%,,Used as a kettle hop for bittering.
Wheat Ale,Zeus,13-17%,Columbus,Aromatic and pleasant.
